Player,NF,RW,Salary,Actual
B. Horvat,8.9,11.04,7400,16.5
C. Keller,8.5,9.96,9400,10.5
S. Gostisbehere,7.4,8.15,8800,2.8
P. Kessel,7.7,6.97,8000,6
O. Ekman-Larsson,6.3,7.54,5800,22.3
T. Myers,5.2,6.39,7200,2.8
N. Schmaltz,7.0,6.85,5200,1.5
L. Crouse,6.7,6.17,7000,10
D. Mayo,6.1,5.35,5000,2.6
T. Boyd,5.1,5.55,6200,6.3
A. Stralman,4.7,4.64,4400,11
L. Schenn,5.8,4.93,2000,2.8
T. Motte,5.2,4.38,4600,4.3
J. Moser,4.6,3.99,4800,1.3
A. Galchenyuk,4.0,4.69,4000,10.5
N. Hoglander,6.3,2.79,6600,6.5
J. Lammikko,2.9,3.02,2000,1.3
C. Fischer,3.2,4.25,2000,1.5
A. Chiasson,5.3,2.81,2000,0
J. Dickinson,3.7,4.59,3400,1.3
K. Capobianco,3.8,2.15,2200,0
K. Burroughs,3.1,3.73,2000,12.5
B. Hunt,3.5,4.86,2800,1.3
L. Eriksson,3.0,2.30,2600,0
A. Ladd,3.5,2.11,3800,4.5
N. Juulsen,3.1,1.85,2000,12.8
V. Podkolzin,4.5,1.38,3200,9.3
L. O'Brien,2.5,1.75,2000,0
R. Nash,2.3,1.60,2000,1.5
A. Roussel,2.9,1.64,2000,7.1
J. Larsson,5.4,0.00,6400,0
J. Halak,0.0,0.73,10600,0
I. Prosvetov,0.0,0.54,5000,0
V. Soderstrom,3.4,0.00,2000,0
J. Dowling,3.1,0.00,2000,0
S. Rempal,3.1,0.00,2000,0
V. Kolyachonok,3.1,0.00,2000,0
J. Jenik,5.6,0.00,2000,0
R. Dzingel,4.6,0.00,2000,1.3
A. Sautner,4.2,0.00,2000,0
I. Lyubushkin,4.1,0.00,2000,3
I. Sorokin,13.8,16.49,10600,19.3
J. Halak,14.1,12.93,11200,-12.6
M. Barzal,7.7,9.34,9800,14.5
N. Dobson,7.2,8.88,9400,8
J. Miller,8.7,7.67,8800,5.8
B. Boeser,8.1,7.83,8400,10.5
A. Lee,6.3,8.20,8600,15
B. Nelson,6.8,7.67,9000,12.8
E. Pettersson,7.3,7.84,7600,15.8
O. Wahlstrom,7.6,7.21,8000,4.3
B. Horvat,7.2,7.75,7200,4.5
C. Garland,7.4,6.53,6000,8
R. Pulock,5.5,5.63,8200,9.3
J. Bailey,6.4,6.39,5200,3
T. Pearson,6.6,6.65,5600,1.5
J. Pageau,5.7,6.58,5400,2.8
S. Mayfield,5.1,6.08,7000,9.1
A. Pelech,4.8,5.74,5800,7.6
O. Ekman-Larsson,6.6,5.48,6200,19.9
T. Myers,4.8,4.82,6800,5.6
Z. Parise,4.9,6.36,4600,15.6
A. Beauvillier,6.6,4.19,6600,5
L. Schenn,4.9,3.76,2000,21.2
T. Motte,4.2,5.68,2600,0
N. Hoglander,5.7,1.93,5000,0
A. Greene,4.3,2.17,2000,2.6
C. Clutterbuck,3.4,3.91,2000,12.8
N. Juulsen,2.7,3.65,2000,1.5
Z. Chara,4.1,4.61,2800,7.8
J. Dickinson,3.8,1.91,2000,0
B. Hunt,3.0,3.52,3600,9.3
C. Cizikas,3.0,2.32,2400,18
J. Lammikko,3.1,2.14,4200,4.1
A. Chiasson,4.4,1.91,3000,9.9
M. Martin,3.1,1.99,2000,14.1
K. Burroughs,2.9,1.72,3400,1.3
V. Podkolzin,4.1,1.08,2000,15.5
S. Varlamov,0.0,0.86,10800,0
T. Demko,0.0,0.64,11000,6.3
K. Palmieri,4.6,0.00,3800,0
S. Aho,4.9,0.00,3200,0
R. Johnston,2.9,0.00,4400,2.6
S. Rempal,2.3,0.00,2000,0
J. Dowling,3.3,0.00,2000,0
K. Bellows,4.7,0.00,2000,0
A. Sautner,4.1,0.00,2000,0
J. Binnington,12.3,13.07,11400,-2.1
V. Tarasenko,10.5,11.40,9800,3
J. Kyrou,12.8,12.58,9200,4.5
R. O'Reilly,8.9,9.31,9000,5
J. Bratt,9.9,9.56,8200,4.1
D. Perron,9.7,8.82,7600,1.5
P. Buchnevich,12.3,9.57,8800,8
T. Krug,8.1,8.87,8600,12.8
C. Parayko,5.8,8.40,8400,16.4
N. Hischier,8.4,8.75,6800,29.5
B. Schenn,9.8,7.81,7200,23
R. Thomas,6.7,8.09,7000,4.3
J. Gillies,12.3,6.28,10200,15.9
D. Severson,7.8,7.03,8000,12.6
J. Faulk,8.8,7.20,6400,15.6
I. Barbashev,7.1,6.85,6600,3
Y. Sharangovich,6.4,6.34,6000,24.5
P. Subban,6.4,5.64,5800,16.5
P. Zacha,7.4,5.33,5400,6.5
T. Tatar,5.9,5.56,2000,0
N. Mikkola,4.1,5.31,5200,2.8
B. Saad,8.5,4.08,5600,3
T. Smith,5.6,3.55,3600,7.8
R. Graves,6.5,3.38,6200,9.9
D. Mercer,5.7,3.78,5000,3
O. Sundqvist,5.4,2.74,2600,6.5
J. Vesey,5.0,3.55,2000,16.3
J. Siegenthaler,4.3,4.07,3400,16.8
A. Johnsson,6.6,1.83,2000,3
N. Bastian,3.7,2.79,4200,1.5
M. Scandella,4.6,1.85,3000,3
C. White,3.5,1.25,2800,1.3
T. Bozak,4.0,2.26,3200,0
R. Bortuzzo,3.2,1.68,3800,8.4
J. Boqvist,4.5,1.91,4400,14.5
M. McLeod,0.0,1.59,2000,11.3
K. Kostin,3.2,0.90,2000,12.6
V. Husso,0.0,0.71,11600,0
M. Geertsen,1.9,0.61,2000,1.5
N. Daws,0.0,0.22,10400,0
L. Brown,4.7,0.00,4600,0
N. Walker,7.2,0.00,2000,0
J. Walman,4.2,0.00,2000,0
D. Joshua,2.7,0.00,4800,1.3
C. Jaros,2.4,0.00,2000,0
C. De Leo,2.2,0.00,2000,0
J. Kuokkanen,4.3,0.00,2400,0
K. Bahl,3.5,0.00,2000,0
M. Studenic,3.2,0.00,2000,0
M. Rantanen,13.0,12.47,10400,16.8
N. Kadri,9.7,12.87,10800,13.6
A. Vasilevskiy,12.8,11.22,9200,23.3
